Dates,Type,Price,Size
10:30:32,ASK,5581,6
10:30:32,ASK,5581,7
10:30:32,BID,5576,1
10:30:32,BID,5575,1
10:30:32,BID,5573,1
10:30:32,BID,5572,1
10:30:32,ASK,5580,1
10:30:32,BID,5573,1
10:30:32,ASK,5581,7
10:30:32,ASK,5580,1
10:30:32,ASK,5581,7
10:30:32,ASK,5581,8
10:30:32,ASK,5581,7
10:30:32,ASK,5580,1
10:30:32,ASK,5580,2
10:30:32,ASK,5579,1
10:30:33,ASK,5580,2
10:30:33,ASK,5580,1
10:30:33,ASK,5580,2
10:30:33,ASK,5580,1
10:30:33,ASK,5579,1
10:30:33,ASK,5579,2
10:30:33,ASK,5579,1
10:30:34,BID,5572,1
10:30:34,ASK,5578,1
10:30:34,ASK,5579,2
10:30:34,BID,5571,2
10:30:34,ASK,5577,1
10:30:34,ASK,5576,1
10:30:34,ASK,5575,1
10:30:34,ASK,5576,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5576,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5577,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5576,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5577,1
10:30:34,BID,5570,1
10:30:34,ASK,5571,1
10:30:34,BID,5571,2
10:30:34,ASK,5575,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,1
10:30:34,ASK,5572,2
10:30:34,ASK,5576,1
10:30:34,ASK,5575,1
10:30:34,ASK,5572,1
10:30:34,BID,5570,3
10:30:34,BID,5572,1
10:30:34,ASK,5577,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,1
10:30:34,ASK,5577,1
10:30:34,ASK,5572,2
10:30:34,BID,5571,2
10:30:34,BID,5571,3
10:30:34,BID,5571,2
10:30:34,TRADE,5572,2
10:30:34,BID,5572,2
10:30:34,ASK,5577,1
10:30:34,ASK,5578,2
10:30:34,BID,5572,3
10:30:34,BID,5571,2
10:30:34,ASK,5572,1
10:30:34,BID,5572,2
10:30:34,ASK,5578,2
10:30:34,BID,5572,1
10:30:34,ASK,5577,1
10:30:34,ASK,5578,2
10:30:34,BID,5571,2
10:30:34,ASK,5572,2
10:30:34,ASK,5572,1
10:30:34,BID,5572,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,2
10:30:34,ASK,5572,1
10:30:34,BID,5572,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,2
10:30:34,ASK,5572,1
10:30:34,BID,5572,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,2
10:30:34,BID,5571,1
10:30:34,ASK,5577,1
10:30:34,ASK,5572,1
10:30:34,BID,5571,2
10:30:34,BID,5571,3
10:30:34,ASK,5576,1
10:30:34,BID,5571,2
10:30:34,ASK,5579,3
10:30:34,ASK,5572,1
10:30:34,TRADE,5572,1
10:30:34,ASK,5578,1
10:30:34,ASK,5579,1
10:30:34,ASK,5581,4
10:30:34,ASK,5577,1
10:30:34,ASK,5572,1
10:30:34,BID,5571,1
10:30:34,BID,5571,3
10:30:34,TRADE,5572,1
10:30:34,ASK,5577,1
10:30:34,ASK,5581,4
10:30:34,ASK,5576,1
10:30:34,ASK,5581,4
10:30:34,ASK,5572,1
10:30:34,TRADE,5572,1
10:30:34,ASK,5577,1
10:30:34,ASK,5578,1
10:30:34,ASK,5579,1
10:30:34,ASK,5581,5
10:30:34,BID,5571,1
10:30:34,ASK,5581,6
10:30:34,ASK,5578,1
10:30:34,ASK,5576,1
10:30:34,BID,5571,3
10:30:34,ASK,5578,1
10:30:34,ASK,5580,1
10:30:34,ASK,5579,1
10:30:34,ASK,5577,1
10:30:35,ASK,5578,1
10:30:35,ASK,5577,1
10:30:35,BID,5573,2
10:30:35,ASK,5577,2
10:30:36,BID,5573,3
10:30:36,ASK,5577,3
10:30:37,ASK,5577,2
10:30:37,ASK,5577,1
10:30:37,ASK,5577,2
10:30:39,ASK,5576,1
10:30:39,ASK,5579,1
10:30:39,BID,5576,1
10:30:39,BID,5574,1
10:30:39,ASK,5578,1
10:30:39,ASK,5576,1
10:30:39,BID,5573,3
10:30:39,ASK,5576,2
10:30:39,ASK,5576,1
10:30:40,BID,5573,4
10:30:41,TRADE,5576,1
10:30:41,BID,5576,12
10:30:41,ASK,5578,2
10:30:41,BID,5576,13
10:30:41,ASK,5578,1
10:30:41,BID,5578,2
10:30:41,ASK,5581,3
10:30:41,ASK,5581,2
10:30:41,ASK,5581,1
10:30:41,ASK,5580,1
10:30:41,ASK,5579,1
10:30:41,BID,5576,5
10:30:41,ASK,5578,1
10:30:41,BID,5576,4
10:30:41,BID,5578,2
10:30:41,ASK,5579,1
10:30:41,BID,5576,3
10:30:41,ASK,5578,2
10:30:41,BID,5576,1
10:30:42,BID,5575,2
10:30:43,BID,5576,20
10:30:43,ASK,5578,3
10:30:43,ASK,5578,2
10:30:43,ASK,5578,1
10:30:43,BID,5578,2
10:30:43,ASK,5582,1
10:30:43,BID,5576,20
10:30:43,ASK,5578,1
10:30:45,BID,5580,9
10:30:45,ASK,5582,1
10:30:45,BID,5581,1
10:30:45,BID,5580,9
